"","bam.SRR_76_ngm_sorted.bam"
"AAF07566-1",84
"AAF07567-1",4
"AAF07568-1",7
"AAF07569-1",10
"AAF07570-1",68
"AAF07571-1",76
"AAF07556-1",554
"AAF07557-1",31
"AAF07530-1",363
"AAF07531-1",227
"AAF07532-1",77
"AAF07534-1",208
"AAF07535-1",284
"AAF07536-1",148
"AAF07537-1",135
"AAF07538-1",61
"AAF07539-1",639
"AAF07540-1",282
"AAF07541-1",4823
"AAF07542-1",214
"AAF07543-1",261
"AAF07544-1",166
"AAF07545-1",87
"AAF07546-1",136
"AAF07547-1",94
"AAF07548-1",79
"AAF07549-1",352
"AAF07559-1",277
"AAF07560-1",84
"AAF07550-1",81
"AAF07602-1",528
"AAF07603-1",367
"AAF07604-1",119
"AAF07605-1",99
"AAF07583-1",247
"AAF07584-1",58
"AAF07585-1",50
"AAF07586-1",53
"AAF07587-1",53
"AAF07607-1",150
"AAF07608-1",14
"AAF07609-1",34
"AAF07610-1",12
"AAF07611-1",91
"AAF07612-1",54
"AAF07613-1",98
"AAF07614-1",78
"AAF07588-1",232
"AAF07589-1",258
"AAF07590-1",88
"AAF07591-1",494
"AAF07592-1",1
"AAF07593-1",163
"AAF07594-1",28
"AAF07595-1",148
"AAF07596-1",839
"AAF07597-1",886
"AAF07615-1",149
"AAF07572-1",1984
"AAF07573-1",73
"AAF07574-1",216
"AAF07575-1",85
"AAF07576-1",46
"AAF07577-1",224
"AAF07578-1",149
"AAF07579-1",73
"AAF07580-1",42
"AAF07581-1",278
"AAF07601-1",150
"AAF07582-1",163
"AAF07646-1",0
"AAF07647-1",0
"AAF07648-1",0
"AAF07649-1",0
"AAF07627-1",0
"AAF07628-1",0
"AAF07629-1",0
"AAF07630-1",0
"AAF07631-1",0
"AAF07651-1",0
"AAF07652-1",0
"AAF07653-1",0
"AAF07654-1",0
"AAF07655-1",0
"AAF07656-1",0
"AAF07657-1",0
"AAF07658-1",0
"AAF07632-1",138
"AAF07633-1",234
"AAF07634-1",0
"AAF07635-1",0
"AAF07636-1",0
"AAF07637-1",30
"AAF07638-1",10
"AAF07639-1",32
"AAF07640-1",1408
"AAF07641-1",1937
"AAF07642-1",79
"AAF07616-1",3880
"AAF07617-1",160
"AAF07618-1",174
"AAF07620-1",777
"AAF07621-1",85
"AAF07622-1",0
"AAF07623-1",14
"AAF07624-1",1
"AAF07625-1",2
"AAF07644-1",3
"AAF07645-1",0
"AAF07626-1",28
"AAF07681-1",167
"AAF07682-1",78
"AAF07683-1",15
"AAF07684-1",25
"AAF07659-1",10
"AAF07660-1",17
"AAF07661-1",16
"AAF07662-1",25
"AAF07686-1",8
"AAF07687-1",7
"AAF07688-1",18
"AAF07689-1",692
"AAF07663-1",156
"AAF07664-1",630
"AAF07665-1",16
"AAF07666-1",0
"AAF07667-1",2
"AAF07668-1",54
"AAF07669-1",606
"AAF07670-1",1037
"AAF07671-1",2017
"AAF07672-1",85
"AAF07673-1",212
"AAF07674-1",43
"AAF07675-1",60
"AAF07676-1",156
"AAF07677-1",174
"AAF07678-1",151
"AAF07679-1",634
"AAF07690-1",96
"AAF07692-1",41
"AAF07680-1",62
"AAC66310-1",2568
"AAC66302-1",384
"AAC66303-1",275
"AAC66304-1",645
"AAC66305-1",611
"AAC66312-1",134
"AAC66307-1",1955
"AAC66308-1",912
"AET25324-1",8
"AAC66344-1",42
"AAC66343-1",46
"AET25325-1",25
"AAC66353-1",426
"AAC66352-1",284
"AAC66350-1",2517
"AAC66349-1",1392
"AAC66348-1",613
"AAC66346-1",782
"AAC66345-1",2477
"AAC66347-1",432
"AET25326-1",159
"AAC66355-1",733
"AAF07699-1",60
"AAF07700-1",715
"AAF07693-1",2435
"AAF07694-1",719
"AAF07695-1",68
"AAF07696-1",31
"AAF07702-1",10
"AAF07697-1",261
"AAF07703-1",0
"AAF07698-1",14
"AAC66027-1",1780
"AAC66050-1",586
"AAC66051-1",1049
"AAC66028-1",141
"AAC66029-1",586
"AAC66023-1",188
"AAC66024-1",5937
"AAC66025-1",339
"AAC66026-1",571
"AET25131-1",79
"AAC66369-1",28
"AAC66368-1",3902
"AAC66367-1",88
"AAC66382-1",129
"AET25132-1",42
"AAC66365-1",32
"AET25133-1",82
"AAC66376-1",332
"AAC66374-1",105
"AAC66373-1",387
"AAC66372-1",94
"AAC66371-1",369
"AET25134-1",14
"AET25135-1",8
"AET25136-1",465
"AAC66073-1",366
"AAC66053-1",48
"AAC66055-1",168
"AAC66056-1",348
"AAC66057-1",279
